date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:30:56	6681/6681	---M-Z	200	added ('OK')	text/html	date:Thu,%2007%20Nov%202024%2004:00:56%20GMT	https://vdbprivate.com/en/myaccount/login.php	bank/httrack/vdbprivate.com/en/myaccount/login.html	(from )
09:30:58	240/240	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2007%20Nov%202024%2004:00:57%20GMT	https://vdbprivate.com/robots.txt		(from )
09:30:58	542/542	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2007%20Nov%202024%2004:00:58%20GMT	https://vdbprivate.com/en/myaccount/javax.faces.resource/theme.cssab55.css?ln=primefaces-aristo	bank/httrack/vdbprivate.com/en/myaccount/javax.faces.resource/theme.cssab55ab55.css	(from https://vdbprivate.com/en/myaccount/login.php)
09:30:59	554/554	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2007%20Nov%202024%2004:00:59%20GMT	https://vdbprivate.com/en/myaccount/javax.faces.resource/jquery/jquery.jse3ba.xhtml?ln=primefaces&v=5.0	bank/httrack/vdbprivate.com/en/myaccount/javax.faces.resource/jquery/jquery.jse3bae3ba.xhtml	(from https://vdbprivate.com/en/myaccount/login.php)
09:31:00	551/551	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2007%20Nov%202024%2004:01:00%20GMT	https://vdbprivate.com/en/myaccount/javax.faces.resource/primefaces.jse3ba.xhtml?ln=primefaces&v=5.0	bank/httrack/vdbprivate.com/en/myaccount/javax.faces.resource/primefaces.jse3bae3ba.xhtml	(from https://vdbprivate.com/en/myaccount/login.php)
09:31:01	550/550	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2007%20Nov%202024%2004:01:01%20GMT	https://vdbprivate.com/en/myaccount/javax.faces.resource/primefaces.csse3ba.css?ln=primefaces&v=5.0	bank/httrack/vdbprivate.com/en/myaccount/javax.faces.resource/primefaces.csse3bae3ba.css	(from https://vdbprivate.com/en/myaccount/login.php)
09:31:02	562/562	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2007%20Nov%202024%2004:01:02%20GMT	https://vdbprivate.com/en/myaccount/javax.faces.resource/jquery/jquery-plugins.jse3ba.xhtml?ln=primefaces&v=5.0	bank/httrack/vdbprivate.com/en/myaccount/javax.faces.resource/jquery/jquery-plugins.jse3bae3ba.xhtml	(from https://vdbprivate.com/en/myaccount/login.php)
09:31:03	557/557	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2007%20Nov%202024%2004:01:03%20GMT	https://vdbprivate.com/en/myaccount/javax.faces.resource/keyboard/keyboard.csse3ba.css?ln=primefaces&v=5.0	bank/httrack/vdbprivate.com/en/myaccount/javax.faces.resource/keyboard/keyboard.csse3bae3ba.css	(from https://vdbprivate.com/en/myaccount/login.php)
09:31:04	558/558	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2007%20Nov%202024%2004:01:04%20GMT	https://vdbprivate.com/en/myaccount/javax.faces.resource/keyboard/keyboard.jse3ba.xhtml?ln=primefaces&v=5.0	bank/httrack/vdbprivate.com/en/myaccount/javax.faces.resource/keyboard/keyboard.jse3bae3ba.xhtml	(from https://vdbprivate.com/en/myaccount/login.php)
09:31:05	559/559	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2007%20Nov%202024%2004:01:05%20GMT	https://vdbprivate.com/en/myaccount/javax.faces.resource/watermark/watermark.csse3ba.css?ln=primefaces&v=5.0	bank/httrack/vdbprivate.com/en/myaccount/javax.faces.resource/watermark/watermark.csse3bae3ba.css	(from https://vdbprivate.com/en/myaccount/login.php)
