date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:48:47	59402/59402	---MC-	200	added ('OK')	text/html	date:Wed,%2018%20Sep%202024%2005:18:46%20GMT	https://retail.onlinesbi.sbi/retail/login.htm	sbi/s/retail.onlinesbi.sbi/retail/login.html	(from )
10:48:47	2177/2177	---M--	404	error ('Not%20Found')	text/html		https://retail.onlinesbi.sbi/robots.txt		(from )
10:48:49	59402/59402	---MC-	200	added ('OK')	text/html	date:Wed,%2018%20Sep%202024%2005:18:48%20GMT	https://retail.onlinesbi.sbi/retail/login.htm?languagecode=en	sbi/s/retail.onlinesbi.sbi/retail/loginc71f.html	(from https://retail.onlinesbi.sbi/retail/login.htm)
10:48:50	27416/27416	---M--	200	added ('OK')	text/html	date:Wed,%2018%20Sep%202024%2005:18:50%20GMT	https://retail.onlinesbi.sbi/retail/lockaccountdetails.htm?bankCode=0	sbi/s/retail.onlinesbi.sbi/retail/lockaccountdetails6513.html	(from https://retail.onlinesbi.sbi/retail/login.htm)
10:48:51	69735/69735	---MC-	200	added ('OK')	text/html	date:Wed,%2018%20Sep%202024%2005:18:49%20GMT	https://retail.onlinesbi.sbi/retail/login.htm?languagecode=hi_IN	sbi/s/retail.onlinesbi.sbi/retail/logine986.html	(from https://retail.onlinesbi.sbi/retail/login.htm)
10:48:51	7674/7674	---M--	200	added ('OK')	text/html	date:Wed,%2018%20Sep%202024%2005:18:51%20GMT	https://retail.onlinesbi.sbi/retail/troubleloginhome.htm?bankCode=0	sbi/s/retail.onlinesbi.sbi/retail/troubleloginhome6513.html	(from https://retail.onlinesbi.sbi/retail/login.htm)
10:48:52	6223/6223	---M--	200	added ('OK')	text/html	date:Wed,%2018%20Sep%202024%2005:18:52%20GMT	https://retail.onlinesbi.sbi/retail/blockatmcardintermediate.htm	sbi/s/retail.onlinesbi.sbi/retail/blockatmcardintermediate.html	(from https://retail.onlinesbi.sbi/retail/login.htm)
10:48:53	5083/5083	---M--	200	added ('OK')	text/html	date:Wed,%2018%20Sep%202024%2005:18:53%20GMT	https://retail.onlinesbi.sbi/retail/newuserreg.htm	sbi/s/retail.onlinesbi.sbi/retail/newuserreg.html	(from https://retail.onlinesbi.sbi/retail/login.htm)
10:48:54	2176/2176	---M--	404	error ('Not%20Found')	text/html		https://retail.onlinesbi.sbi/retail/=	sbi/s/retail.onlinesbi.sbi/retail/=	(from https://retail.onlinesbi.sbi/retail/login.htm)
10:48:55	2176/2176	---M--	404	error ('Not%20Found')	text/html		https://retail.onlinesbi.sbi/retail/ource.com/	sbi/s/retail.onlinesbi.sbi/retail/ource.com/index.html	(from https://retail.onlinesbi.sbi/retail/login.htm)
10:48:56	81160/81160	---M--	200	added ('OK')	audio/wave	date:Wed,%2018%20Sep%202024%2005:18:55%20GMT	https://retail.onlinesbi.sbi/retail/audio.wav?bogus=	sbi/s/retail.onlinesbi.sbi/retail/audio25a1.wav	(from https://retail.onlinesbi.sbi/retail/login.htm)
